Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HOF
1001,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem University,No
1002,Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State,No
1003,Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",NA,No
1004,Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Penn State,No
1005,John Barr,1947,1947,F,6-3,205,"August 18, 1918",Penn State,No
1006,Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,No
1007,Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne,No
1008,Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University,No
1009,Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Assumption University,No
1010,Al Brightman,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston,No
1011,Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College,No
1012,Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville,No
1013,Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",Wyoming,No
1014,Tommy Byrnes,1947,1951,F-G,6-3,175,"February 19, 1923",Seton Hall,No
1015,Michael Bytzura,1947,1947,F,6-1,170,"June 18, 1922",Long Island University,No
1016,Tom Callahan,1947,1947,G,6-1,180,"June 2, 1921",Rockhurst University,No
1017,Ernie Calverley,1947,1949,G,5-10,145,"January 30, 1924",Rhode Island,No
1018,Chet Carlisle,1947,1947,F-C,6-5,195,"November 2, 1916",California,No
1019,Don Carlson,1947,1951,G-F,6-0,170,"March 22, 1919",Minnesota,No
1020,Bob Cluggish,1947,1947,C,6-10,235,"September 18, 1917",Kentucky,No
1021,Chuck Connors,1947,1948,F-C,6-5,190,"April 10, 1921",Seton Hall,No
1022,Ken Corley,1947,1947,C,6-5,210,"May 10, 1920",University of Central Oklahoma,No
1023,Hal Crisler,1947,1947,F,6-3,215,"December 31, 1923",Iowa State,No
1024,Armand Cure,1947,1947,F,6-0,198,"August 1, 1919",Rhode Island,No
1025,Howie Dallmar,1947,1949,F,6-4,200,"May 24, 1922",Stanford,No
1026,Aubrey Davis,1947,1947,G-F,6-2,175,"March 28, 1921",Oklahoma Baptist University,No
1027,Bill Davis,1947,1947,F,6-3,215,"October 3, 1920",Notre Dame,No
1028,Red Dehnert,1947,1947,F,6-3,175,"January 24, 1924",Columbia University,No
1029,Bob Dille,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso,No
1030,Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919",Colorado,No
1031,Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane,No
1032,Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University,No
1033,Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron,No
1034,Joe Fabel,1947,1947,F-G,6-1,190,"May 15, 1917",Pitt,No
1035,Bob Faught,1947,1947,F,6-5,185,"September 2, 1921",Notre Dame,No
1036,Bob Feerick,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara,No
1037,Warren Fenley,1947,1947,F,6-3,190,"February 8, 1922",Manhattan College,No
1038,Bob Fitzgerald,1947,1949,F-C,6-5,190,"March 14, 1923",Seton Hall,No
1039,Dick Fitzgerald,1947,1948,F,6-2,175,"November 18, 1920",Fordham,No
1040,Jerry Fleishman,1947,1953,G-F,6-2,190,"February 14, 1922",NYU,No
1041,Nat Frankel,1947,1947,F-G,6-0,195,"November 3, 1913",Brooklyn College,No
1042,Frido Frey,1947,1947,F,6-2,195,"October 26, 1921",Long Island University,No
1043,Frank Fucarino,1947,1947,F,6-2,175,"July 24, 1920",Long Island University,No
1044,Joe Fulks,1947,1954,F-C,6-5,190,"October 26, 1921","Millsaps College, Murray State",Yes
1045,Gene Gallette,1947,1947,F,6-2,205,"February 22, 1919",NA,No
1046,Bob Gantt,1947,1947,F-C,6-4,205,"June 22, 1922",Duke,No
1047,Jack Garfinkel,1947,1949,G,6-0,190,"June 13, 1918",St. John's,No
1048,Gorham Getchell,1947,1947,C,6-4,205,"August 14, 1920",Temple,No
